a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,class
-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0
1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0
1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1
-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1
1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0
1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1
-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1
1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0
1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0
-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0
-1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,1
-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1
1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0
-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,1
1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0
-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1
1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0
-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,1
-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0
1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1
1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0
-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,1
1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,0
1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1
-1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0
-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1
1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0
-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0
1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0
-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0
1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,0
1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0
-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1
1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1
1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,0
-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1
-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1
1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0
1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1
1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,1.0,0
-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1
-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,1
1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0
-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1
-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1
-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1
1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,0
1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0
-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0
-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,1
1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0
1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0
1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0
-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,1
1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0
-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1
-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1
-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,-1.0,1
-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0
-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0
1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0
1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1
1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0
-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1
1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1
-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1
1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0
-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1
1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0
-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0
-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,1
1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0
-1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1
-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1
-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1
1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0
-1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1
-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,1
1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0
1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0
-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0
1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0
-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0
-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1
1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0
1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0
1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0
1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0
-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,1
1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0
-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1
-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0
-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1
1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0
1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0
1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0
1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0
-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1
-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,1
1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0
1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0
-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1
-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1
1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0
1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0
-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,1
-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1
1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0
1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0
-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1
-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,0
1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0
-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1
1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0
-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1
-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1
1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0
-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,1
-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0
1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0
1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0
1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0
1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,0
1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0
-1.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,1
-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,1
1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0
1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0
-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0
1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,0
-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1
1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,0
1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0
-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1
-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1
-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1
-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1
-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1
-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-1.0,1
-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,1
-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1
1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1
1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,0
1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,1
1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0
1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,0
-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,1
-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1
-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1
1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0
1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1
1.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0
1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0
1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1
-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1
-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0
1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0
-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0
1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1
1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0
-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1
1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0
1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1
1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0
1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,1
1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0
1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,1
-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,1
